split,quality,file_name,raw_min,raw_max,raw_mean,raw_std,raw_median,raw_p90,raw_p95,raw_p99,raw_p99_5,raw_p99_9,zero_ratio,norm_min,norm_max,norm_mean,norm_std,norm_median,norm_p95,norm_p99,norm_p99_9
Train,LOW,Train_039_LOW.bin,0.0,7446.0,83.97978973388672,40.24908447265625,79.0,132.0,151.0,198.0,227.0,344.0,0.013603564453125,0.0,1.0,0.011278516612946987,0.0054054646752774715,0.010609723627567291,0.02027934417128563,0.026591459289193153,0.04619930312037468
Train,HIGH,Train_039_HIGH.bin,0.0,37816.0,118.82432556152344,156.3841552734375,88.0,183.0,288.0,782.0,1079.0,1897.0,0.013603515625,0.0,1.0,0.003142166417092085,0.004135399125516415,0.0023270573001354933,0.0076158237643539906,0.02067907713353634,0.05016395077109337
Train,LOW,Train_040_LOW.bin,0.0,23600.0,86.863525390625,47.737144470214844,82.0,138.0,157.0,202.0,225.0,303.0,0.01360361328125,0.0,1.0,0.003680660156533122,0.0020227604545652866,0.0034745761658996344,0.006652542389929295,0.008559321984648705,0.012838982976973057
Train,HIGH,Train_040_HIGH.bin,0.0,42826.0,129.44863891601562,198.65574645996094,89.0,205.0,357.0,965.0,1289.0,2080.0,0.01360361328125,0.0,1.0,0.003022664226591587,0.004638671875,0.002078176708891988,0.008336057886481285,0.02253304049372673,0.04856862500309944
Train,LOW,Train_041_LOW.bin,0.0,876.0,83.70101165771484,39.800743103027344,79.0,134.0,154.0,206.0,231.0,290.0,0.013603759765625,0.0,1.0,0.09554900974035263,0.04543464630842209,0.09018264710903168,0.17579908668994904,0.23515981435775757,0.33105021715164185
Train,HIGH,Train_041_HIGH.bin,0.0,8224.0,116.66638946533203,126.56127166748047,89.0,193.0,288.0,654.0,876.0,1477.0,0.013603515625,0.0,1.0,0.014186076819896698,0.015389258041977882,0.010821984149515629,0.03501945361495018,0.07952334731817245,0.17959630489349365
Train,LOW,Train_042_LOW.bin,0.0,1303.0,81.7093734741211,38.77194595336914,77.0,129.0,148.0,194.0,221.0,324.0,0.01360361328125,0.0,1.0,0.06270859390497208,0.02975592575967312,0.059094399213790894,0.11358403414487839,0.14888718724250793,0.24865694344043732
Train,HIGH,Train_042_HIGH.bin,0.0,12988.0,121.99653625488281,156.61302185058594,87.0,197.0,329.0,823.0,1087.0,1803.0,0.013603515625,0.0,1.0,0.009393010288476944,0.012058285064995289,0.0066984910517930984,0.025331074371933937,0.06336618214845657,0.13882045447826385
Train,LOW,Train_043_LOW.bin,0.0,1324.0,83.46383666992188,42.14400863647461,78.0,132.0,152.0,208.0,250.0,401.0,0.013603662109375,0.0,1.0,0.06303921341896057,0.03183082863688469,0.05891238525509834,0.11480362713336945,0.15709969401359558,0.30287009477615356
Train,HIGH,Train_043_HIGH.bin,0.0,8779.0,147.28079223632812,233.87916564941406,92.0,250.0,453.0,1211.0,1612.0,2729.0,0.01360361328125,0.0,1.0,0.016776500269770622,0.0266407560557127,0.01047955360263586,0.05160041153430939,0.1379428207874298,0.3108554482460022
Train,LOW,Train_044_LOW.bin,0.0,1652.0,82.27445983886719,38.804412841796875,78.0,130.0,148.0,192.0,217.0,316.0,0.01360361328125,0.0,1.0,0.04980293661355972,0.02348935417830944,0.04721549525856972,0.08958838135004044,0.11622276157140732,0.19128328561782837
Train,HIGH,Train_044_HIGH.bin,0.0,15770.0,126.53733825683594,178.1462860107422,88.0,196.0,344.0,926.0,1223.0,2091.0,0.013603564453125,0.0,1.0,0.008023916743695736,0.011296537704765797,0.005580215714871883,0.021813569590449333,0.05871908739209175,0.1325935274362564
Train,LOW,Train_045_LOW.bin,0.0,982.0,88.15739440917969,40.987545013427734,83.0,140.0,160.0,207.0,229.0,297.0,0.01360361328125,0.0,1.0,0.08977331221103668,0.041738856583833694,0.08452138304710388,0.16293278336524963,0.21079429984092712,0.3024439811706543
Train,HIGH,Train_045_HIGH.bin,0.0,27579.0,132.18675231933594,175.47157287597656,93.0,206.0,361.0,942.0,1204.0,1958.0,0.01360361328125,0.0,1.0,0.004793032072484493,0.006362506188452244,0.0033721309155225754,0.013089669868350029,0.034156423062086105,0.07099604606628418
Train,LOW,Train_046_LOW.bin,0.0,2461.0,83.66504669189453,40.25969314575195,79.0,132.0,151.0,201.0,233.0,348.0,0.01360361328125,0.0,1.0,0.0339963436126709,0.016359075903892517,0.03210077062249184,0.06135717034339905,0.08167411386966705,0.14140592515468597
Train,HIGH,Train_046_HIGH.bin,0.0,17484.0,134.0081787109375,186.4385223388672,90.0,229.0,387.0,966.0,1291.0,2154.0,0.0136037109375,0.0,1.0,0.007664620876312256,0.010663386434316635,0.0051475632935762405,0.02213452383875847,0.055250514298677444,0.12319835275411606
